trade_id,day,leg,bid,ask
0,12,short,8.678,8.751
0,12,long,6.454,6.536
0,13,short,8.638,8.711
0,13,long,6.454,6.536
0,14,short,8.713,8.786
0,14,long,6.454,6.536
0,15,short,8.697,8.77
0,15,long,6.454,6.536
0,16,short,8.701,8.774
0,16,long,6.454,6.536
0,17,short,9.006,9.079
0,17,long,6.454,6.536
0,18,short,8.886,8.959
0,18,long,6.454,6.536
0,19,short,8.947,9.019
0,19,long,6.454,6.536
0,20,short,8.959,9.031
0,20,long,6.454,6.536
0,21,short,8.929,9.002
0,21,long,6.454,6.536
0,22,short,8.686,8.758
0,22,long,6.454,6.536
0,23,short,8.706,8.779
0,23,long,6.454,6.536
0,25,short,8.635,8.708
0,25,long,6.454,6.536
0,26,short,8.53,8.603
0,27,short,8.454,8.526
0,27,long,6.454,6.536
0,28,short,8.464,8.537
0,28,long,6.454,6.536
0,29,short,8.776,8.849
0,29,long,6.454,6.536
0,30,short,8.712,8.785
0,30,long,6.454,6.536
0,31,short,8.612,8.684
0,31,long,6.454,6.536
0,32,short,8.553,8.625
0,32,long,6.454,6.536
0,33,short,8.692,8.765
0,35,short,8.833,8.905
0,35,long,6.454,6.536
0,36,short,8.707,8.78
0,36,long,6.454,6.536
0,37,short,8.528,8.6
0,37,long,6.454,6.536
0,38,short,8.775,8.847
0,38,long,6.454,6.536
0,39,short,8.57,8.643
0,39,long,6.454,6.536
0,40,short,8.594,8.666
0,40,long,6.454,6.536
0,41,short,8.748,8.821
0,41,long,6.454,6.536
0,42,short,8.695,8.768
0,42,long,6.454,6.536
0,43,short,8.688,8.76
0,43,long,6.454,6.536
0,44,short,8.758,8.831
0,44,long,6.454,6.536
0,45,short,8.691,8.764
0,45,long,6.454,6.536
0,46,short,8.595,8.668
0,46,long,6.454,6.536
0,47,short,8.642,8.714
0,47,long,6.454,6.536
0,48,short,8.552,8.625
0,48,long,6.454,6.536
0,49,short,8.724,8.797
0,49,long,6.454,6.536
0,50,short,8.66,8.733
0,50,long,6.454,6.536
0,51,short,8.58,8.653
0,51,long,6.454,6.536
0,52,short,8.588,8.661
0,52,long,6.454,6.536
0,53,short,8.674,8.746
0,53,long,6.454,6.536
0,55,short,8.45,8.523
0,55,long,6.454,6.536
0,56,short,8.493,8.566
0,56,long,6.454,6.536
0,57,short,8.398,8.47
0,57,long,6.454,6.536
0,58,short,8.385,8.458
0,58,long,6.454,6.536
0,59,short,8.566,8.639
0,59,long,6.454,6.536
0,60,short,8.657,8.729
0,60,long,6.454,6.536
0,61,short,8.583,8.656
0,61,long,6.454,6.536
0,62,short,8.639,8.712
0,62,long,6.454,6.536
0,63,short,8.634,8.706
0,63,long,6.454,6.536
0,64,short,8.726,8.799
0,64,long,6.454,6.536
0,65,short,8.763,8.836
0,65,long,6.454,6.536
0,66,short,8.902,8.975
0,66,long,6.454,6.536
0,67,short,8.75,8.823
0,67,long,6.454,6.536
0,68,short,8.59,8.662
0,68,long,6.454,6.536
0,69,short,8.618,8.691
0,69,long,6.454,6.536
0,70,short,8.444,8.517
0,70,long,6.454,6.536
0,71,short,8.442,8.515
0,71,long,6.454,6.536
1,15,short,8.645,8.763
1,15,long,6.267,6.364
1,16,short,8.66,8.779
1,16,long,6.267,6.364
1,17,short,8.785,8.904
1,17,long,6.267,6.364
1,18,short,8.703,8.821
1,18,long,6.267,6.364
1,19,short,8.548,8.666
1,19,long,6.267,6.364
1,20,short,8.572,8.69
