trade_id,signal_day
0,45
1,70
2,85
3,62
4,72
5,86
6,89
7,94
8,117
9,93
10,127
11,135
12,139
13,192
14,176
15,171
16,203
17,202
18,232
19,221
20,224
21,218
22,217
23,270
24,279
25,267
26,296
27,308
28,299
29,311
30,307
31,343
32,356
33,371
34,390
35,377
36,416
37,398
38,413
39,442
40,416
41,431
42,453
43,433
44,438
45,462
46,460
47,492
48,487
49,480
50,508
51,523
52,513
53,519
54,538
55,521
56,533
57,536
58,565
59,552
60,576
61,568
62,580
63,601
64,620
65,615
66,601
67,641
68,652
69,638
70,640
71,651
72,677
73,687
74,666
75,691
76,703
77,693
78,709
79,731
80,700
81,736
82,725
83,732
84,744
85,754
86,748
87,741
88,739
89,744
