trade_id,signal_day
0,59
1,24
2,49
3,51
4,57
5,49
6,85
7,70
8,89
9,85
10,83
11,79
12,108
13,84
14,101
15,106
16,114
17,134
18,130
19,143
20,157
21,139
22,134
23,168
24,164
25,161
26,191
27,188
28,171
29,200
30,220
31,212
32,208
33,208
34,211
35,228
36,226
37,229
38,260
39,253
40,277
41,265
42,265
43,281
44,265
45,266
46,299
47,327
48,323
49,329
50,345
51,336
52,362
53,369
54,386
55,365
56,410
57,397
58,427
59,454
60,476
61,477
62,495
63,489
64,517
65,522
66,543
67,535
68,550
69,532
70,562
71,555
72,562
73,583
74,553
75,596
76,609
77,599
78,622
79,639
80,647
81,683
82,673
83,731
84,710
85,705
86,733
87,752
88,752
89,751
