day,close
0,397.89
1,401.92
2,406.8
3,407.15
4,400.55
5,402.87
6,400.86
7,400.29
8,399.96
9,398.21
10,402.28
11,407.76
12,410.57
13,411.38
14,409.14
15,411.02
16,406.21
17,406.44
18,406.33
19,412.16
20,417.63
21,420.27
22,419.72
23,423.72
24,426.89
25,423.45
26,425.86
27,423.46
28,425.62
29,423.75
30,426.9
31,431.98
32,426.91
33,426.74
34,427.02
35,419.66
36,428.04
37,431.07
38,426.5
39,428.77
40,432.3
41,430.7
42,425.06
43,427.44
44,430.42
45,434.14
46,430.95
47,428.52
48,419.8
49,419.15
50,424.1
51,422.09
52,423.93
53,421.32
54,411.34
55,415.15
56,420.8
57,422.39
58,414.49
59,420.9
60,420.97
61,422.04
62,425.94
63,419.73
64,421.09
65,421.37
66,420.32
67,424.54
68,432.21
69,429.8
70,423.81
71,426.13
72,428.77
73,428.39
74,425.96
75,431.25
76,428.96
77,421.9
78,418.56
79,427.14
80,431.24
81,430.09
82,427.74
83,430.5
84,429.02
85,429.07
86,433.1
87,439.54
88,437.04
89,436.54
90,425.46
91,424.78
92,423.99
93,419.62
94,421.26
95,412.03
96,415.01
97,415.2
98,406.78
99,409.99
100,411.02
101,416.03
102,418.98
103,427.0
104,429.51
105,430.17
106,427.03
107,421.18
108,415.82
109,410.31
110,414.57
111,411.04
112,408.88
113,411.56
114,410.75
115,401.68
116,407.41
117,409.89
118,406.98
119,405.86
120,404.99
121,395.66
122,391.15
123,392.62
124,383.25
125,378.91
126,381.25
127,389.19
128,388.25
129,385.87
130,387.0
131,387.43
132,392.69
133,398.6
134,393.5
135,398.35
136,392.93
137,392.98
138,392.33
139,386.35
140,386.33
141,388.07
142,388.31
143,383.36
144,390.91
145,394.92
146,404.3
147,411.44
148,414.63
149,412.1
150,409.44
151,407.43
152,411.91
153,413.67
154,416.48
155,417.48
156,418.83
157,420.78
158,425.86
159,432.1
160,436.17
161,440.63
162,442.67
163,438.41
164,441.17
165,442.64
166,443.09
167,444.39
168,441.75
169,440.92
170,445.33
171,446.63
172,451.5
173,454.04
174,456.18
175,457.09
176,459.09
177,456.34
178,452.05
179,451.18
180,449.82
181,453.88
182,443.91
183,440.14
184,433.01
185,430.21
186,432.09
187,431.93
188,436.39
189,435.24
190,432.13
191,435.03
192,432.72
193,429.75
194,429.9
195,428.7
196,423.82
197,426.86
198,437.81
199,433.81
200,430.6
201,439.85
202,436.73
203,437.27
204,439.58
205,435.51
206,433.75
207,432.58
208,430.96
209,427.43
210,430.35
211,426.17
212,430.82
213,430.74
214,430.65
215,423.32
216,432.1
217,425.3
218,426.81
219,428.55
220,425.0
221,414.28
222,417.92
223,421.1
224,415.2
225,422.21
226,430.66
227,435.01
228,447.76
229,447.8
230,447.73
231,449.88
232,451.28
233,447.55
234,442.95
235,443.57
236,443.75
237,448.12
238,456.19
239,460.65
240,465.41
241,470.76
242,468.49
243,464.84
244,463.49
245,466.95
246,466.2
247,472.46
248,472.47
249,463.88
250,453.88
251,452.84
252,453.47
253,459.08
254,449.86
255,452.21
256,455.46
257,455.47
258,453.48
259,455.28
260,449.11
261,446.97
262,457.64
263,458.5
264,458.31
265,453.5
266,453.09
267,461.3
268,461.57
269,458.84
270,458.71
271,460.22
272,465.83
273,466.22
274,460.42
275,454.15
276,461.81
277,470.48
278,466.9
279,476.87
280,475.06
281,475.03
282,471.77
283,474.41
284,465.74
285,472.82
286,476.95
287,484.68
288,477.98
289,479.84
290,486.63
291,478.46
292,484.38
293,486.25
294,479.56
295,483.32
296,487.29
297,492.72
298,500.32
299,519.96
300,517.84
301,532.33
302,531.93
303,538.97
304,543.96
305,540.89
306,536.23
307,532.09
308,536.98
309,552.0
310,560.06
311,558.33
312,565.37
313,576.55
314,573.47
315,573.89
316,566.81
317,564.85
318,571.57
319,569.88
320,567.67
321,574.36
322,575.5
323,584.38
324,578.9
325,581.26
326,586.69
327,582.93
328,578.55
329,570.16
330,572.54
331,568.61
332,570.86
333,564.8
334,563.96
335,563.96
336,570.93
337,571.31
338,576.84
339,570.57
340,563.96
341,583.02
342,581.67
343,585.93
344,578.49
345,581.06
346,582.82
347,579.9
348,582.33
349,578.42
350,583.04
351,589.31
352,580.79
353,578.26
354,575.66
355,575.57
356,577.64
357,585.02
358,591.57
359,606.15
360,603.24
361,601.89
362,609.53
363,603.78
364,613.59
365,608.99
366,606.57
367,599.43
368,609.27
369,605.17
370,608.48
371,611.87
372,626.92
373,631.45
