trade_id,day,leg,bid,ask
0,0,short,8.135,8.254
0,0,long,5.889,5.988
0,1,short,8.123,8.242
0,1,long,5.889,5.988
0,2,short,8.196,8.314
0,2,long,5.889,5.988
0,3,short,8.204,8.323
0,3,long,5.889,5.988
0,4,short,8.282,8.401
0,4,long,5.889,5.988
0,5,short,8.418,8.537
0,5,long,5.889,5.988
0,6,short,8.405,8.524
0,6,long,5.889,5.988
0,7,short,8.265,8.383
0,7,long,5.889,5.988
0,8,short,8.196,8.315
0,8,long,5.889,5.988
0,9,short,8.213,8.332
0,9,long,5.889,5.988
0,10,short,8.219,8.338
0,10,long,5.889,5.988
0,11,short,8.105,8.223
0,11,long,5.889,5.988
0,12,short,8.193,8.312
0,12,long,5.889,5.988
0,13,short,8.069,8.188
0,13,long,5.889,5.988
0,14,short,8.034,8.153
0,14,long,5.889,5.988
0,16,short,7.988,8.107
0,16,long,5.889,5.988
0,17,short,7.593,7.712
0,17,long,5.889,5.988
0,18,short,7.744,7.863
0,18,long,5.889,5.988
0,19,short,7.887,8.006
0,19,long,5.889,5.988
0,20,short,7.863,7.981
0,20,long,5.889,5.988
0,21,short,7.918,8.037
0,21,long,5.889,5.988
0,22,short,7.859,7.977
0,22,long,5.889,5.988
0,23,short,7.927,8.046
0,23,long,5.889,5.988
0,24,short,7.899,8.017
0,24,long,5.889,5.988
0,25,short,7.799,7.918
0,25,long,5.889,5.988
0,26,short,7.958,8.076
0,26,long,5.889,5.988
0,27,short,7.967,8.086
0,27,long,5.889,5.988
0,28,short,7.767,7.886
0,28,long,5.889,5.988
0,29,short,7.686,7.804
0,29,long,5.889,5.988
0,30,short,7.614,7.733
0,30,long,5.889,5.988
0,31,short,7.651,7.77
0,31,long,5.889,5.988
0,32,short,7.571,7.69
0,32,long,5.889,5.988
0,33,short,7.802,7.921
0,33,long,5.889,5.988
0,34,short,7.838,7.957
0,34,long,5.889,5.988
0,35,short,7.783,7.901
0,35,long,5.889,5.988
0,36,short,7.899,8.018
0,36,long,5.889,5.988
0,37,short,8.163,8.281
0,37,long,5.889,5.988
0,38,short,8.1,8.219
0,38,long,5.889,5.988
0,39,short,8.229,8.348
0,39,long,5.889,5.988
0,40,short,8.137,8.256
0,40,long,5.889,5.988
0,41,short,7.982,8.101
0,41,long,5.889,5.988
0,42,short,8.055,8.173
0,42,long,5.889,5.988
0,43,short,7.896,8.015
0,43,long,5.889,5.988
0,44,short,8.071,8.19
0,44,long,5.889,5.988
0,45,short,8.191,8.31
0,45,long,5.889,5.988
0,46,short,8.246,8.365
0,46,long,5.889,5.988
0,47,short,8.204,8.323
0,47,long,5.889,5.988
0,48,short,8.173,8.292
0,48,long,5.889,5.988
0,49,short,8.243,8.362
0,49,long,5.889,5.988
0,50,short,8.219,8.338
0,50,long,5.889,5.988
0,51,short,8.168,8.286
0,51,long,5.889,5.988
0,52,short,8.015,8.134
0,52,long,5.889,5.988
0,53,short,7.944,8.063
0,53,long,5.889,5.988
0,54,short,8.199,8.318
0,54,long,5.889,5.988
0,55,short,8.211,8.33
0,55,long,5.889,5.988
0,56,short,8.395,8.514
0,56,long,5.889,5.988
0,57,short,8.297,8.416
0,57,long,5.889,5.988
0,58,short,8.356,8.475
0,58,long,5.889,5.988
0,59,short,8.308,8.427
0,59,long,5.889,5.988
1,14,short,7.163,7.266
1,14,long,5.531,5.609
1,15,short,7.225,7.327
1,15,long,5.531,5.609
1,16,short,7.233,7.336
1,16,long,5.531,5.609
1,17,short,7.066,7.169
1,17,long,5.531,5.609
1,18,short,6.955,7.057
1,18,long,5.531,5.609
1,19,short,6.946,7.049
1,19,long,5.531,5.609
1,20,short,6.979,7.082
1,20,long,5.531,5.609
1,21,short,7.007,7.11
1,21,long,5.531,5.609
1,22,short,7.18,7.283
1,22,long,5.531,5.609
1,23,short,7.255,7.357
1,23,long,5.531,5.609
1,24,short,7.332,7.435
1,24,long,5.531,5.609
1,25,short,7.191,7.294
1,25,long,5.531,5.609
1,26,short,7.308,7.41
1,26,long,5.531,5.609
1,27,short,7.284,7.387
1,27,long,5.531,5.609
1,28,short,7.16,7.262
1,28,long,5.531,5.609
1,29,short,7.193,7.295
1,29,long,5.531,5.609
1,30,short,7.036,7.139
1,30,long,5.531,5.609
1,31,short,7.085,7.188
1,31,long,5.531,5.609
1,32,short,6.924,7.027
1,32,long,5.531,5.609
1,33,short,7.108,7.211
1,33,long,5.531,5.609
1,34,short,7.071,7.174
1,34,long,5.531,5.609
1,35,short,7.021,7.123
1,35,long,5.531,5.609
1,36,short,7.036,7.139
1,36,long,5.531,5.609
1,37,short,7.201,7.304
1,37,long,5.531,5.609
1,38,short,7.109,7.211
1,38,long,5.531,5.609
1,39,short,7.338,7.441
1,39,long,5.531,5.609
1,40,short,7.257,7.359
1,40,long,5.531,5.609
1,41,short,7.153,7.256
1,41,long,5.531,5.609
1,42,short,7.132,7.234
1,42,long,5.531,5.609
1,43,short,7.173,7.276
1,43,long,5.531,5.609
1,44,short,7.189,7.292
1,44,long,5.531,5.609
1,45,short,7.371,7.474
1,45,long,5.531,5.609
1,46,short,7.326,7.429
1,46,long,5.531,5.609
1,47,short,7.273,7.375
1,47,long,5.531,5.609
1,48,short,7.144,7.247
1,48,long,5.531,5.609
1,49,short,7.41,7.513
1,49,long,5.531,5.609
1,50,short,7.394,7.496
1,50,long,5.531,5.609
1,51,short,7.245,7.348
1,51,long,5.531,5.609
1,52,short,7.322,7.425
1,52,long,5.531,5.609
1,53,short,7.472,7.575
